Date/Time,Word Count,en,fr-FR
2021.05.12-18.18.42,406,406,0
2021.05.12-18.30.50,406,406,275
2021.05.12-18.45.36,406,406,278
2021.05.18-19.12.18,408,408,232
2021.05.18-19.18.55,408,408,246
2021.05.18-19.30.02,409,409,232
2021.05.18-19.36.21,409,409,270
2021.05.18-19.38.20,409,409,273
2021.05.18-19.58.08,398,398,241
2021.05.18-20.12.00,398,398,262
2021.05.18-20.27.34,398,398,247
2021.05.18-20.28.13,398,398,262
2021.05.18-21.20.10,395,395,223
2021.05.18-21.25.02,395,395,259
2021.05.18-22.00.09,388,388,219
2021.05.18-22.04.50,388,388,252
2021.05.18-23.17.02,381,381,235
2021.05.18-23.19.50,381,381,245
2021.05.18-23.51.26,386,386,219
2021.05.18-23.57.52,386,386,250
2021.05.19-00.17.25,413,413,189
2021.05.19-00.26.41,413,413,254
2021.05.19-00.33.41,411,411,229
2021.05.19-00.34.56,411,411,250
2021.05.19-02.30.03,386,386,239
2021.05.22-22.33.22,388,388,226
2021.05.22-22.35.03,388,388,248
2021.06.13-20.13.58,427,427,219
2021.06.13-20.19.30,427,427,280
2021.06.13-20.22.16,426,426,261
2021.06.13-20.23.01,426,426,279
2021.07.08-01.31.40,585,585,32
2021.07.08-01.34.07,599,599,32
2021.07.08-01.53.35,599,599,70
